Date,Vendor,Description,Amount,Category,Memo
2026-03-02,Amazon Marketplace,Office shelves and adapters,184.22,,
2026-03-04,Uber Trip,Airport ride for client meeting,68.40,travel,
2026-03-04,Uber Trip,Airport ride for client meeting,68.40,travel,
2026-03-06,QuickBooks Online,Monthly accounting software,210.00,software,subscription
2026-03-08,Stripe Atlas,Annual compliance filing,499.00,professional services,
2026-03-10,Google Workspace,Business email suite,144.00,,renewal
2026-03-12,Delta Airlines,Quarterly advisory travel,942.15,travel,
2026-03-14,Starbucks,Team coffee with client,24.18,meals,
2026-03-18,Unknown Vendor,Card charge 4821,615.00,,
2026-03-21,Amazon Marketplace,Office supplies reorder,312.77,office supplies,
2026-03-24,Owner Reimbursement,Receipt batch missing,1280.00,,
2026-03-27,DoorDash,Working lunch during close,42.90,meals,
